start_time,end_time,id,val
2019-10-13 19:03:46.109096,2019-10-13 22:54:56.258758,22,1
2019-10-14 06:50:10.321890,2019-10-14 08:33:37.498490,22,1
2019-10-14 18:41:00.004800,2019-10-14 22:11:30.508376,22,1
2019-10-15 06:48:40.987655,2019-10-15 08:22:04.923354,22,1
2019-10-15 18:25:34.278715,2019-10-15 22:23:31.670210,22,1
2019-10-16 06:11:27.172936,2019-10-16 08:40:25.537004,22,1
2019-10-16 21:22:53.854765,2019-10-16 22:17:39.833845,22,1
2019-10-17 06:55:13.188491,2019-10-17 08:20:12.148663,22,1
2019-10-17 18:42:21.054249,2019-10-17 23:20:34.638642,22,1
2019-10-17 23:24:21.799580,2019-10-17 23:24:26.961593,22,1
2019-10-18 06:29:58.989580,2019-10-18 08:06:02.608469,22,1
2019-10-18 18:12:36.356657,2019-10-18 22:52:22.929114,22,1
2019-10-18 23:50:54.806239,2019-10-18 23:58:49.523619,22,1
2019-10-19 06:49:48.528025,2019-10-19 10:10:21.764470,22,1
2019-10-19 18:29:17.801849,2019-10-20 00:57:41.967950,22,1
2019-10-20 00:57:52.257430,2019-10-20 01:00:11.270854,22,1
2019-10-20 18:43:10.331956,2019-10-20 19:30:13.415085,22,1
2019-10-20 19:30:18.575257,2019-10-20 22:08:47.133601,22,1
2019-10-21 06:51:31.369538,2019-10-21 11:54:52.436187,22,1
2019-10-21 18:52:24.094298,2019-10-21 22:22:47.550184,22,1
2019-10-21 22:23:44.199951,2019-10-21 22:23:49.344891,22,1
2019-10-22 05:34:02.147879,2019-10-22 08:31:38.787808,22,1
2019-10-22 18:24:32.125391,2019-10-22 22:23:59.460707,22,1
2019-10-23 06:31:45.308184,2019-10-23 09:29:06.236662,22,1
2019-10-23 18:32:47.615757,2019-10-23 21:32:43.840227,22,1
2019-10-24 06:51:40.456191,2019-10-24 08:28:58.095751,22,1
2019-10-24 18:34:44.870319,2019-10-24 22:31:09.284244,22,1
2019-10-25 06:38:03.788584,2019-10-25 07:57:52.838529,22,1
2019-10-25 10:38:44.604234,2019-10-25 11:08:19.015227,22,1
2019-10-25 18:18:01.895583,2019-10-25 23:07:32.357772,22,1
2019-10-25 23:08:13.589508,2019-10-25 23:08:18.718483,22,1
2019-10-26 08:01:57.120022,2019-10-26 09:04:34.489313,22,1
2019-10-26 18:38:24.181943,2019-10-26 22:25:53.925329,22,1
2019-10-27 21:12:15.646321,2019-10-27 21:26:11.166241,22,1
2019-10-27 21:26:16.315118,2019-10-27 22:06:52.777229,22,1
2019-10-28 05:31:02.437929,2019-10-28 07:47:25.510387,22,1
2019-10-28 17:17:21.033098,2019-10-28 22:28:50.049347,22,1
2019-10-29 06:50:28.421929,2019-10-29 07:50:41.542690,22,1
2019-10-29 17:26:56.335253,2019-10-29 22:14:00.164702,22,1
2019-10-30 06:47:40.931246,2019-10-30 08:02:57.318369,22,1
2019-10-30 18:02:07.165601,2019-10-30 22:21:10.559607,22,1
2019-10-31 06:42:44.019715,2019-10-31 08:11:19.236307,22,1
2019-10-31 17:08:30.781882,2019-10-31 21:26:17.157929,22,1
2019-11-01 05:40:40.483222,2019-11-01 08:35:12.792466,22,1
2019-11-01 09:52:57.451205,2019-11-01 11:54:51.748263,22,1
2019-11-01 12:15:09.087822,2019-11-01 12:15:19.442564,22,1
2019-11-01 18:05:33.328477,2019-11-01 22:38:30.772130,22,1
